,Name,ObjectType,AdmArea,District,Address,UNOM,ClarificationOfLocation,Specialization,PeriodOfPlacement,FacilityArea,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ContractBasis,ObjectPhoto,StartDateTrading,geoData,global_id,x,y
760,"НТО Южнопортовая ул., 18",киоск,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Южнопортовая улица, дом 18",67419,,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-004033,КАП,13.07.2017,13.07.2022,Результат аукциона (2-е место),,,"{'coordinates': [37.6855179337564, 55.7056891566285], 'type': 'Point'}",861539447,37.6855179337564,55.7056891566285
761,"НТО Южнопортовая ул., д. 18",киоск,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Южнопортовая улица, дом 18",67419,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007445,АРЕАЛ,28.12.2020,28.12.2025,Результат аукциона (победитель),,31.12.2020,"{'coordinates': [37.6855179337564, 55.7056891566285], 'type': 'Point'}",861539448,37.6855179337564,55.7056891566285
762,"НТО Чистова, д.22",киоск,Юго-Восточный административный округ,район Текстильщики,"город Москва, улица Чистова, дом 22",67443,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007393,АЛИМПИС,21.12.2020,21.12.2025,Результат аукциона (победитель),,24.12.2020,"{'coordinates': [37.747648, 55.696976], 'type': 'Point'}",861539449,37.747648,55.696976
763,"НТО Ул. Белореченская, вл. 34, корп. 1",киоск,Юго-Восточный административный округ,район Марьино,"город Москва, Белореченская улица, дом 34, корпус 1",67469,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-002274,МЕДИА-СЕЛЕКТ,13.10.2016,13.10.2021,Результат аукциона (победитель),,23.01.2017,"{'coordinates': [37.7737316045244, 55.6617087488427], 'type': 'Point'}",861539451,37.7737316045244,55.6617087488427
764,"НТО Краснодарская ул., вл. 76а",киоск,Юго-Восточный административный округ,район Люблино,"город Москва, Краснодарская улица, дом 76",67599,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007236,АРЕАЛ,09.11.2020,09.11.2025,Результат аукциона (победитель),,13.11.2020,"{'coordinates': [37.7823277900759, 55.6677314527524], 'type': 'Point'}",861539458,37.7823277900759,55.6677314527524
765,НТО Рязанский просп. 67дробь2,киоск,Юго-Восточный административный округ,Рязанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Рязанский проспект, дом 67/2",67618,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007467,АРЕАЛ,30.12.2020,30.12.2025,Результат аукциона (победитель),,31.12.2020,"{'coordinates': [37.7851419069953, 55.7187754858175], 'type': 'Point'}",861539460,37.7851419069953,55.7187754858175
766,"НТО Академика Челомея ул., вл.8",киоск,Юго-Западный административный округ,Обручевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Академика Челомея, дом 8, корпус 1",68056,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004004,Амо-пресс,07.07.2017,07.07.2022,Результат аукциона (победитель),,,"{'coordinates': [37.530466908145, 55.662703136196], 'type': 'Point'}",861539463,37.530466908145,55.662703136196
767,"НТО Нахимовский проспект, вл. 33",киоск,Юго-Западный административный округ,район Черёмушки,"город Москва, Нахимовский проспект, дом 33/2",68097,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008623,У Метро,31.01.2022,31.01.2027,Результат аукциона (победитель),,11.02.2022,"{'coordinates': [37.5774773500663, 55.6725819541769], 'type': 'Point'}",861539465,37.5774773500663,55.6725819541769
768,"НТО Профсоюзная ул., вл.91",киоск,Юго-Западный административный округ,район Коньково,"город Москва, Профсоюзная улица, дом 91",68187,,печать,с 1 января по 31 декабря,10,договор на осуществление торговой деятельности,действует,НТО-09-02-005472,КАП,21.06.2018,21.06.2023,Результат аукциона (победитель),,28.06.2018,"{'coordinates': [37.5255335500576, 55.6410259047822], 'type': 'Point'}",861539466,37.5255335500576,55.6410259047822
769,"НТО Профсоюзная ул., вл.91",киоск,Юго-Западный административный округ,район Коньково,"город Москва, Профсоюзная улица, дом 91",68187,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006535,Шумилина Галина Геннадьевна,15.10.2019,15.10.2024,Результат аукциона (победитель),,11.11.2019,"{'coordinates': [37.5271919591595, 55.6411520988007], 'type': 'Point'}",861539467,37.5271919591595,55.6411520988007
770,"НТО Южнобутовская ул., вл.50",киоск,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Южнобутовская улица, дом 50",69201,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-003629,У Метро,07.04.2017,07.04.2022,Результат аукциона (победитель),,,"{'coordinates': [37.5334493270315, 55.5379746361765], 'type': 'Point'}",861539468,37.5334493270315,55.5379746361765
771,"НТО Бульвар Дмитрия Донского, 8",киоск,Юго-Западный административный округ,район Северное Бутово,"город Москва, бульвар Дмитрия Донского, дом 8",69238,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006126,СМАРТМАТРИКС,13.02.2019,13.02.2024,Результат аукциона (победитель),,22.02.2019,"{'coordinates': [37.57351, 55.56814], 'type': 'Point'}",861539470,37.57351,55.56814
772,"НТО Адмирала Лазарева ул., д.64 (напротив)",киоск,Юго-Западный административный округ,район Южное Бутово,"город Москва, улица Адмирала Лазарева, дом 64",69275,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-001392,КАП,20.06.2016,20.06.2021,Результат аукциона (2-е место),,,"{'coordinates': [37.509698856398, 55.5393893180189], 'type': 'Point'}",861539472,37.509698856398,55.5393893180189
773,"НТО Адмирала Лазарева ул., вл.50",киоск,Юго-Западный административный округ,район Южное Бутово,"город Москва, улица Адмирала Лазарева, дом 50",69289,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008441,У Метро,29.11.2021,29.11.2026,Результат аукциона (победитель),,29.11.2021,"{'coordinates': [37.5157363384533, 55.5420803878726], 'type': 'Point'}",861539473,37.5157363384533,55.5420803878726
774,"НТО Грина ул., вл.30",киоск,Юго-Западный административный округ,район Северное Бутово,"город Москва, улица Грина, дом 30",69350,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006021,Мультитранс,14.01.2019,14.01.2024,Результат аукциона (победитель),,21.01.2019,"{'coordinates': [37.569496900272, 55.5676978630766], 'type': 'Point'}",861539475,37.569496900272,55.5676978630766
775,"НТО Скобелевская ул., вл.19, корп.1",киоск,Юго-Западный административный округ,район Южное Бутово,"город Москва, Скобелевская улица, дом 19, корпус 1",69415,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008331,У Метро,08.11.2021,08.11.2026,Результат аукциона (победитель),,17.11.2021,"{'coordinates': [37.5558974061078, 55.5469352706089], 'type': 'Point'}",861539476,37.5558974061078,55.5469352706089
776,"НТО Адмирала Лазарева ул., вл.29 (напротив)",киоск,Юго-Западный административный округ,район Южное Бутово,"город Москва, улица Адмирала Лазарева, дом 29",69424,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007877,У Метро,12.07.2021,12.07.2026,Результат аукциона (победитель),,12.07.2021,"{'coordinates': [37.5273826419325, 55.545705694483], 'type': 'Point'}",861539477,37.5273826419325,55.545705694483
777,"НТО Адмирала Лазарева ул., д.19",киоск,Юго-Западный административный округ,район Южное Бутово,"город Москва, улица Адмирала Лазарева, дом 19",69456,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007955,У Метро,10.08.2021,10.08.2026,Результат аукциона (победитель),,10.08.2021,"{'coordinates': [37.5345562184823, 55.5460416186988], 'type': 'Point'}",861539479,37.5345562184823,55.5460416186988
778,НТО Ст. метро «Бульвар Дмитрия Донского» (выход на Бульвар Дмитрия Донского вл.11),киоск,Юго-Западный административный округ,район Северное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, бульвар Дмитрия Донского, дом 11",69465,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006112,КАП,13.02.2019,13.02.2024,Результат аукциона (победитель),,25.02.2019,"{'coordinates': [37.5764096280289, 55.5677917126569], 'type': 'Point'}",861539480,37.5764096280289,55.5677917126569
779,"НТО Веневская ул., д.7",киоск,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Венёвская улица, дом 7",70052,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006546,Шумилина Галина Геннадьевна,15.10.2019,15.10.2024,Результат аукциона (победитель),,21.11.2019,"{'coordinates': [37.5459652421332, 55.5465992131911], 'type': 'Point'}",861539482,37.5459652421332,55.5465992131911
780,"НТО Южнобутовская ул., вл.81",киоск,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Южнобутовская улица, дом 81",70078,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-003630,У Метро,07.04.2017,07.04.2022,Результат аукциона (победитель),,,"{'coordinates': [37.5252887962683, 55.5344151679853], 'type': 'Point'}",861539484,37.5252887962683,55.5344151679853
781,"НТО Бульвар Адмирала Ушакова, 11",киоск,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, бульвар Адмирала Ушакова, дом 11",70079,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008346,У Метро,08.11.2021,08.11.2026,Результат аукциона (победитель),,08.11.2021,"{'coordinates': [37.55151, 55.548187], 'type': 'Point'}",861539485,37.55151,55.548187
782,"НТО Южнобутовская ул., д.107",киоск,Юго-Западный административный округ,район Южное Бутово,"город Москва, Южнобутовская улица, дом 107",70087,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008125,МАКС ТНП,09.09.2021,09.09.2026,Результат аукциона (победитель),,23.09.2021,"{'coordinates': [37.5182729492122, 55.5340898923575], 'type': 'Point'}",861539486,37.5182729492122,55.5340898923575
783,"НТО Южнобутовская ул., д.65",киоск,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Южнобутовская улица, дом 65",70109,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-003631,У Метро,07.04.2017,07.04.2022,Результат аукциона (победитель),,,"{'coordinates': [37.5288899312499, 55.5358995640005], 'type': 'Point'}",861539489,37.5288899312499,55.5358995640005
784,"НТО Куликовская ул., вл.9 к.1",киоск,Юго-Западный административный округ,район Северное Бутово,"город Москва, Куликовская улица, дом 9, корпус 1",70112,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007173,У Метро,26.10.2020,26.10.2025,Результат аукциона (победитель),,,"{'coordinates': [37.5613808937277, 55.5674632821268], 'type': 'Point'}",861539490,37.5613808937277,55.5674632821268
785,"НТО Ул.Удальцова, д.85",киоск,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, улица Удальцова, дом 85, корпус 1",71032,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-000951,КАП,06.04.2016,06.04.2021,Результат аукциона (победитель),,17.08.2016,"{'coordinates': [37.4871625063737, 55.6867821417197], 'type': 'Point'}",861539496,37.4871625063737,55.6867821417197
786,"НТО Академика Анохина ул., вл. 5 к4",киоск,Западный административный округ,район Тропарёво-Никулино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Академика Анохина, дом 5, корпус 4",71255,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007058,У Метро,18.09.2020,18.09.2025,Результат аукциона (победитель),,23.09.2020,"{'coordinates': [37.4762000156277, 55.6641012755461], 'type': 'Point'}",861539497,37.4762000156277,55.6641012755461
787,"НТО Академика Анохина, вл.7",киоск,Западный административный округ,район Тропарёво-Никулино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Академика Анохина, дом 7",71257,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007057,У Метро,18.09.2020,18.09.2025,Результат аукциона (победитель),,,"{'coordinates': [37.4728805479409, 55.6603456828672], 'type': 'Point'}",861539499,37.4728805479409,55.6603456828672
788,"НТО Пржевальского ул., вл.2, корп. 13",киоск,Западный административный округ,район Очаково-Матвеевское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, улица Пржевальского, дом 2",71283,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004417,Амо-пресс,03.11.2017,03.11.2022,Результат аукциона (победитель),,,"{'coordinates': [37.4518475706422, 55.6820875630397], 'type': 'Point'}",861539500,37.4518475706422,55.6820875630397
789,"НТО Осенняя ул., вл.26",киоск,Западный административный округ,район Крылатское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Осенняя улица, дом 26",72036,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007516,У Метро,18.01.2021,18.01.2026,Результат аукциона (победитель),,20.01.2021,"{'coordinates': [37.4072049059272, 55.7669975189369], 'type': 'Point'}",861539502,37.4072049059272,55.7669975189369
790,"НТО Кутузовский пр., вл.24",киоск,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 24",72044,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006844,АЛФАВИТ,15.04.2020,15.04.2025,Результат аукциона (победитель),,27.07.2020,"{'coordinates': [37.5458244237669, 55.7445475027153], 'type': 'Point'}",861539504,37.5458244237669,55.7445475027153
791,"НТО Киевская ул., ст. м. «Студенческая»",киоск,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Киевская улица, дом 18",72076,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008546,У Метро,22.12.2021,22.12.2026,Результат аукциона (победитель),,22.12.2021,"{'coordinates': [37.5493, 55.73925], 'type': 'Point'}",861539506,37.5493,55.73925
792,"НТО Генерала Белобородова ул., вл.14",киоск,Северо-Западный административный округ,район Митино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, улица Генерала Белобородова, дом 14",73052,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-005037,Антарес,13.04.2018,13.04.2023,Результат аукциона (победитель),,16.04.2018,"{'coordinates': [37.3550692651031, 55.8359085358643], 'type': 'Point'}",861539511,37.3550692651031,55.8359085358643
793,"НТО Строгинский бульв., вл. 2",киоск,Северо-Западный административный округ,район Строгино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, Строгинский бульвар, дом 2, корпус 1",73085,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-003930,Амо-пресс,16.06.2017,16.06.2022,Результат аукциона (победитель),,,"{'coordinates': [37.3944196394501, 55.8051332887567], 'type': 'Point'}",861539513,37.3944196394501,55.8051332887567
794,"НТО Планерная ул., вл. 5 напротив",киоск,Северо-Западный административный округ,район Северное Тушино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, Планерная улица, дом 5",73114,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007587,Компания ФРЕГАТ,09.03.2021,09.03.2026,Результат аукциона (победитель),,01.04.2021,"{'coordinates': [37.434368298325, 55.852422568545], 'type': 'Point'}",861539516,37.434368298325,55.852422568545
795,"НТО ул. Исаковского, вл. 28дробь1",киоск,Северо-Западный административный округ,район Строгино,"город Москва, улица Исаковского, дом 28, корпус 1",73122,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007398,АЛИМПИС,21.12.2020,21.12.2025,Результат аукциона (победитель),,01.02.2021,"{'coordinates': [37.417673302303, 55.8074658858557], 'type': 'Point'}",861539517,37.417673302303,55.8074658858557
796,"НТО Строгинский б-р, вл. 7",киоск,Северо-Западный административный округ,район Строгино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, Строгинский бульвар, дом 7, корпус 1",73134,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004433,Амо-пресс,03.11.2017,03.11.2022,Результат аукциона (победитель),,19.02.2018,"{'coordinates': [37.4003231543139, 55.8046911316871], 'type': 'Point'}",861539521,37.4003231543139,55.8046911316871
797,"НТО Героев Панфиловцев, 1",киоск,Северо-Западный административный округ,район Северное Тушино,"город Москва, улица Героев Панфиловцев, дом 1",73175,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007661,МК-СЕРВИС,19.04.2021,19.04.2026,Результат аукциона (победитель),,25.05.2021,"{'coordinates': [37.438206, 55.852192], 'type': 'Point'}",861539526,37.438206,55.852192
798,"НТО Барышиха ул., вл.21",киоск,Северо-Западный административный округ,район Митино,"город Москва, улица Барышиха, дом 21",73473,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004434,Амо-пресс,03.11.2017,03.11.2022,Результат аукциона (победитель),,,"{'coordinates': [37.3477926235242, 55.8453713774308], 'type': 'Point'}",861539528,37.3477926235242,55.8453713774308
799,"НТО ул. Ирины Левченко, вл.1",киоск,Северо-Западный административный округ,район Щукино,"город Москва, улица Ирины Левченко, дом 1",73631,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007845,АЛИМПИС,28.06.2021,28.06.2026,Результат аукциона (победитель),,09.07.2021,"{'coordinates': [37.4913845513231, 55.7904097126552], 'type': 'Point'}",861539531,37.4913845513231,55.7904097126552
800,"НТО ул.Селезневская, вл.4",киоск,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Селезнёвская улица, дом 4",74046,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007070,ЮРКОНСАЛТИНГ,22.09.2020,22.09.2025,Результат аукциона (победитель),,29.09.2020,"{'coordinates': [37.6045447579528, 55.7800188679305], 'type': 'Point'}",861539532,37.6045447579528,55.7800188679305
801,"НТО Коровинское ш., 19 к1",киоск,Северный административный округ,район Западное Дегунино,"город Москва, Коровинское шоссе, дом 19",75102,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-004242,Амо-пресс,14.09.2017,14.09.2022,Результат аукциона (победитель),,18.09.2017,"{'coordinates': [37.5253784321361, 55.874856495327], 'type': 'Point'}",861539534,37.5253784321361,55.874856495327
802,"НТО Бескудниковский бульвар, вл.6 корп. 3",киоск,Северный административный округ,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 6, корпус 3",75129,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006853,АЛФАВИТ,15.04.2020,15.04.2025,Результат аукциона (победитель),,27.07.2020,"{'coordinates': [37.5626949752733, 55.8584290168114], 'type': 'Point'}",861539536,37.5626949752733,55.8584290168114
803,"НТО Дубнинская ул., вл.27",киоск,Северный административный округ,Бескудниковский район,"город Москва, Дубнинская улица, дом 27, корпус 2",75178,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006592,Мультитранс,23.10.2019,23.10.2024,Результат аукциона (победитель),,,"{'coordinates': [37.5648759691424, 55.8633340793744], 'type': 'Point'}",861539537,37.5648759691424,55.8633340793744
804,"НТО Первомайская ул., вл. 33А",киоск,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, Первомайская улица, дом 33",77077,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007365,У Метро,15.12.2020,15.12.2025,Результат аукциона (победитель),,31.12.2020,"{'coordinates': [37.7825472840371, 55.7929647465891], 'type': 'Point'}",861539538,37.7825472840371,55.7929647465891
805,"НТО Зеленоград, у корп.1805",киоск,Зеленоградский административный округ,район Крюково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1805",77163,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008460,У Метро,30.11.2021,30.11.2026,Результат аукциона (победитель),,06.12.2021,"{'coordinates': [37.1621575647422, 55.9806719428648], 'type': 'Point'}",861539540,37.1621575647422,55.9806719428648
806,"НТО Мкр. Северное Чертаново, вл.403",киоск,Южный административный округ,район Чертаново Северное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, микрорайон Северное Чертаново, дом 4, корпус 403",78026,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007423,ГКС,22.12.2020,22.12.2025,Результат аукциона (победитель),,29.12.2020,"{'coordinates': [37.5959731361797, 55.6373989043316], 'type': 'Point'}",861539543,37.5959731361797,55.6373989043316
807,"НТО ул.Мусы Джалиля,д.28,корп.1",киоск,Южный административный округ,район Зябликово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, улица Мусы Джалиля, дом 28, корпус 1",78075,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007802,ЮРКОНСАЛТИНГ,24.06.2021,24.06.2026,Результат аукциона (победитель),,13.07.2021,"{'coordinates': [37.7430227176204, 55.6200540053635], 'type': 'Point'}",861539547,37.7430227176204,55.6200540053635
808,"НТО Хордовый пр., вл. 21, корп. 2",киоск,Южный административный округ,район Братеево,"город Москва, улица Борисовские Пруды, дом 16, корпус 6",78127,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007522,У Метро,18.01.2021,18.01.2026,Результат аукциона (победитель),,,"{'coordinates': [37.7508414552823, 55.634929749818], 'type': 'Point'}",861539548,37.7508414552823,55.634929749818
809,"НТО Каширское шоссе, вл. 4, корп. 1",киоск,Южный административный округ,район Нагатино-Садовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Каширское шоссе, дом 4, корпус 1",78184,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004151,АРДПП,22.08.2017,22.08.2022,Результат аукциона (победитель),,,"{'coordinates': [37.6283753543738, 55.667802570372], 'type': 'Point'}",861539549,37.6283753543738,55.667802570372
810,НТО Ст. метро «Улица Академика Янгеля» (северный выход),киоск,Южный административный округ,район Чертаново Южное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, улица Академика Янгеля, дом 3",79003,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007791,У Метро,24.06.2021,24.06.2026,Результат аукциона (победитель),,02.08.2021,"{'coordinates': [37.599631198737, 55.595711045493], 'type': 'Point'}",861539551,37.599631198737,55.595711045493
811,НТО Ст.метро «Чертановская» (северный выход),киоск,Южный административный округ,район Чертаново Северное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Чертановская улица, дом 1В, корпус 1",79008,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007453,АЛИМПИС,29.12.2020,29.12.2025,Результат аукциона (победитель),,19.01.2021,"{'coordinates': [37.6046915048555, 55.6398654267033], 'type': 'Point'}",861539552,37.6046915048555,55.6398654267033
812,"НТО ул. Николая Старостина, вл. 15",киоск,Восточный административный округ,район Новокосино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, улица Николая Старостина, дом 15",80046,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-004331,КАП,13.10.2017,13.10.2022,Результат аукциона (победитель),,25.10.2017,"{'coordinates': [37.8583138166825, 55.7310138072681], 'type': 'Point'}",861539554,37.8583138166825,55.7310138072681
813,"НТО Ул.Интернациональная, 2",киоск,Западный административный округ,район Внуково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Внуково, Интернациональная улица, дом 2",81139,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004685,Сейлс,21.12.2017,21.12.2022,Результат аукциона (победитель),,09.02.2018,"{'coordinates': [37.2576186322216, 55.6118230908807], 'type': 'Point'}",861539556,37.2576186322216,55.6118230908807
814,"НТО Волынская ул., вл.10",киоск,Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Волынская улица, дом 10",81688,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-006765,СТМ МАРКЕТ-ПЛЮС,04.02.2020,04.02.2025,Результат аукциона (победитель),,04.02.2020,"{'coordinates': [37.4121407718025, 55.6431612253415], 'type': 'Point'}",861539557,37.4121407718025,55.6431612253415
815,"НТО Новокосинская ул., вл.14, к.1",киоск,Восточный административный округ,район Новокосино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, Новокосинская улица, дом 14, корпус 1",82001,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007399,АЛИМПИС,21.12.2020,21.12.2025,Результат аукциона (победитель),,07.09.2021,"{'coordinates': [37.8555296278938, 55.737504858929], 'type': 'Point'}",861539558,37.8555296278938,55.737504858929
816,"НТО Бакунинская ул., вл. 23дробь41",киоск,Центральный административный округ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Бакунинская улица, дом 23-41",83054,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-006562,АЛФАВИТ,21.10.2019,21.10.2024,Результат аукциона (победитель),,27.11.2019,"{'coordinates': [37.6856197760014, 55.7758648470578], 'type': 'Point'}",861539562,37.6856197760014,55.7758648470578
817,"НТО 7-ой Ростовский пер., вл. 11",киоск,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, 7-й Ростовский переулок, дом 11",83164,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-004478,Шумилина Галина Геннадьевна,20.11.2017,20.11.2022,Результат аукциона (победитель),,20.02.2018,"{'coordinates': [37.5725565160516, 55.7402271541162], 'type': 'Point'}",861539564,37.5725565160516,55.7402271541162
818,НТО Зоологическая ул. 18,киоск,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Зоологическая улица, дом 18",83223,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007631,У Метро,15.04.2021,15.04.2026,Результат аукциона (победитель),,15.04.2021,"{'coordinates': [37.5833533113655, 55.7650472085353], 'type': 'Point'}",861539565,37.5833533113655,55.7650472085353
